id,season,war
1011070,1947,3.5
1011070,1948,4.8
1011070,1949,9.6
1011070,1950,6.8
1011070,1951,9.0
1011070,1952,7.8
1011070,1953,6.0
1011070,1954,3.6
1011070,1955,1.8
1011070,1956,4.2
1012426,1962,0.1
1012426,1963,0.1
1012426,1964,1.4
1012426,1965,3.3
1012426,1966,4.8
1012426,1967,2.5
1012426,1968,2.3
1012426,1969,5.2
1012426,1970,2.8
1012426,1971,8.2
1012426,1972,4.8
1012426,1973,7.7
1012426,1974,6.0
1012426,1975,4.0
1012426,1976,1.3
1012426,1977,1.1
1012426,1978,3.6
1012426,1979,2.7
1012426,1980,1.0
1012426,1981,-0.2
1012426,1982,0.3
1004264,1912,0.1
1004264,1913,0.7
1004264,1914,3.5
1004264,1915,6.0
1004264,1916,1.6
1004264,1917,0.0
1004264,1918,0.7
1004264,1920,3.3
1004264,1921,4.4
1004264,1922,1.2
1004264,1923,5.8
1004264,1924,6.6
1004264,1925,5.8
1004264,1926,1.1
1004264,1927,1.3
1011066,1956,5.8
1011066,1957,6.6
1011066,1958,3.9
1011066,1959,5.5
1011066,1960,6.3
1011066,1961,7.1
1011066,1962,8.2
1011066,1963,4.0
1011066,1964,7.1
1011066,1965,5.2
1011066,1966,8.2
1011066,1967,5.7
1011066,1968,3.9
1011066,1969,7.3
1011066,1970,4.7
1011066,1971,3.7
1011066,1972,2.7
1011066,1973,4.2
1011066,1974,3.0
1011066,1975,0.9
1011066,1976,0.1
1012021,1915,0.6
1012021,1916,3.3
1012021,1917,5.9
1012021,1918,6.4
1012021,1919,6.3
1012021,1920,9.9
1012021,1921,5.7
1012021,1922,8.3
1012021,1924,0.2
1012021,1925,2.3
1012021,1926,-0.6
1012021,1927,1.4
1012021,1928,2.0
1012021,1929,0.1
1012021,1930,0.0
1000335,1948,4.4
1000335,1949,2.0
1000335,1950,3.3
1000335,1951,6.1
1000335,1952,2.9
1000335,1953,5.4
1000335,1954,6.4
1000335,1955,6.1
1000335,1956,5.1
1000335,1957,5.2
1000335,1958,6.5
1000335,1959,-0.9
1000335,1960,3.7
1000335,1961,-0.6
1000335,1962,2.0
96,1996,0.0
96,1997,3.7
96,1998,7.0
96,1999,6.9
96,2000,7.7
96,2001,4.9
96,2002,6.3
96,2003,5.2
96,2004,5.3
96,2005,7.9
96,2006,6.0
96,2007,3.3
96,2008,-1.1
96,2009,0.6
96,2010,1.4
96,2011,1.5
96,2012,0.3
1011011,1941,4.8
